Nation,Literacy_rate(%),Population
Finland,100,5540.745
Norway,100,5434.319
Luxembourg,100,647.599
Andorra,100,79.824
Greenland,100,56.466
Liechtenstein,100,39.327
Uzbekistan,99.9952,34627.652
Latvia,99.8927,1850.651
Estonia,99.8235,1326.062
Lithuania,99.8233,2750.055
Azerbaijan,99.8053,10358.074
Guam,99.789,171.774
Kazakhstan,99.7878,19397.998
Poland,99.7874,39857.145
Tajikistan,99.7811,9952.787
Armenia,99.7684,2780.469
Ukraine,99.7641,39701.739
Georgia,99.7596,3744.385
Belarus,99.722,9534.954
Russia,99.7196,144713.314
Slovenia,99.7148,2119.844
Cuba,99.7107,11212.191
Barbados,99.7,281.635
Turkmenistan,99.6929,6430.77
Slovakia,99.6,5643.453
Palau,99.524,18.055
Kyrgyzstan,99.5013,6630.623
Tonga,99.3979,106.858
Hungary,99.3809,9967.308
Maldives,99.321,523.787
Croatia,99.2726,4030.358
Moldova,99.2444,3272.996
Cyprus,99.0598,1251.488
Italy,99.0158,59037.474
Samoa,99.015,222.382
United States,99,338289.857
Japan,99,123951.692
Germany,99,83369.843
United Kingdom,99,67508.936
France,99,64626.628
Canada,99,38454.327
Australia,99,26177.413
Netherlands,99,17564.014
Belgium,99,11655.93
Sweden,99,10549.347
Switzerland,99,8740.472
Denmark,99,5882.261
New Zealand,99,5185.288
Ireland,99,5023.109
Iceland,99,372.899
Monaco,99,36.469
Saint Pierre and Miquelon,99,5.862
Trinidad and Tobago,98.9696,1531.044
Antigua and Barbuda,98.95,93.763
Cayman Islands,98.8678,68.706
Romania,98.757,19659.267
Montenegro,98.7199,627.082
Bosnia and Herzegovina,98.4858,3233.526
Uruguay,98.4421,3422.794
Bulgaria,98.3886,6781.953
Mongolia,98.3676,3398.366
Marshall Islands,98.2651,41.569
Spain,98.1145,47558.63
Argentina,98.09,45510.318
Jordan,98.0144,11285.869
Serbia,98.0029,7221.365
Austria,98,8939.617
French Polynesia,98,306.279
Bermuda,98,64.184
Turks and Caicos Islands,98,45.703
South Korea,97.9659,51815.81
North Macedonia,97.8438,2093.599
Saint Kitts and Nevis,97.8,47.657
British Virgin Islands,97.8,31.305
Qatar,97.7571,2695.122
Costa Rica,97.6472,5180.829
Albania,97.5539,2842.321
Aruba,97.5242,106.445
American Samoa,97.3442,44.273
Israel,97.1,9038.309
Northern Mariana Islands,97,49.551
Montserrat,97,4.39
New Caledonia,96.9378,289.95
Singapore,96.7746,5975.689
Palestine,96.668,5250.072
Brunei,96.6565,449.002
Chile,96.6275,19603.733
Philippines,96.618,115559.009
China,96.3575,1425887.337
Kuwait,96.1177,4268.873
Taiwan,96.1,23893.394
Grenada,96,125.438
San Marino,96,33.66
Bahrain,95.7173,1472.233
Turkey,95.6881,85341.241
Saint Vincent and the Grenadines,95.6322,103.948
Bahamas,95.6,409.984
Suriname,95.539,618.04
Paraguay,95.5361,6780.744
Indonesia,95.4377,275501.339
Portugal,95.4281,10270.865
Venezuela,95.3992,28301.696
Seychelles,95.3211,107.118
Greece,95.2929,10384.971
Equatorial Guinea,95.1957,1674.908
Bolivia,95.1419,12224.11
Panama,95.0382,4408.581
Cook Islands,95,17.011
Anguilla,95,15.857
Niue,95,1.934
Saudi Arabia,94.8424,36408.82
Malaysia,94.637,33938.221
South Africa,94.5979,59893.885
Colombia,94.5771,51874.024
Mexico,94.5456,127504.125
Ecuador,94.5155,18001
Vietnam,94.5143,98186.856
Peru,94.3744,34049.588
Malta,94.0666,533.286
Lebanon,94.0511,5489.739
Dominica,94,72.737
Thailand,93.983,71697.03
Oman,93.9716,4576.298
Fiji,93.7,929.766
Hong Kong,93.5,7488.865
Puerto Rico,93.3294,3252.407
Myanmar,93.0901,54179.306
United Arab Emirates,92.9864,9441.129
Sri Lanka,92.6142,21832.143
Brazil,92.5868,215313.498
Dominican Republic,92.4654,11228.821
Sao Tome and Principe,91.7471,227.38
Libya,91.3889,6812.341
Namibia,90.8205,2567.012
Mauritius,90.616,1299.469
Saint Lucia,90.1,179.857
Micronesia,89,114.164
Jamaica,88.4999,2827.377
Cape Verde,88.4654,593.149
Honduras,88.4246,10432.86
Botswana,88.2244,2630.296
El Salvador,87.6482,6336.392
Guyana,87.5353,808.726
Eswatini,87.4702,1201.67
Iran,87.1725,88550.57
Zimbabwe,86.8735,16320.537
Syria,86.3039,22125.249
Burundi,85.4961,12889.576
Zambia,85.1173,20017.675
Vanuatu,85.0587,326.74
Solomon Islands,84.1,724.273
Gabon,83.2379,2388.992
Belize,82.7768,405.272
Nicaragua,82.4718,6948.392
Tunisia,81.0542,12356.117
Tanzania,80.3595,65497.748
Gibraltar,80,32.649
Laos,79.8675,7529.475
Iraq,79.7218,44496.122
Algeria,79.6084,44903.225
Lesotho,79.3609,2305.825
Guatemala,79.0742,17843.908
Cambodia,78.3459,16767.842
Comoros,78.1374,836.774
Kenya,78.0234,54027.487
DR Congo,77.2217,99010.212
Ghana,76.5759,33475.87
Egypt,75.8426,110990.103
Cameroon,74.9856,27914.536
Eritrea,73.8453,3684.032
Uganda,73.8098,47249.585
India,72.2253,1417173.173
Morocco,71.7105,37457.971
Rwanda,71.2435,13776.698
Angola,71.1642,35588.987
Yemen,69.962,33696.614
Djibouti,67.9,1120.849
Togo,66.5376,8848.699
Malawi,65.9638,20405.317
Nepal,64.6636,30547.58
Madagascar,64.6563,29611.714
Bhutan,63.9068,782.455
Papua New Guinea,63.4335,10142.619
Bangladesh,61.4938,171186.372
Haiti,60.6893,11584.996
Guinea-Bissau,59.7728,2105.566
Nigeria,59.5681,218541.212
Mozambique,58.8366,32969.518
Sudan,58.6013,46874.204
Pakistan,56.4403,235824.862
Senegal,55.6249,17316.449
Gambia,55.5728,2705.992
Mauritania,52.1236,4736.139
Wallis and Futuna,50,11.572
Ethiopia,49.0315,123379.924
Sierra Leone,48.4319,8605.718
Liberia,47.6001,5302.681
Ivory Coast,43.2653,28160.542
Chad,40.0182,17723.315
Benin,38.4471,13352.864
Afghanistan,38.168,41128.771
Somalia,37.8,17597.511
Burkina Faso,37.7467,22673.762
Central African Republic,36.7526,5579.144
Mali,33.0689,22593.59
South Sudan,31.9763,10913.164
Guinea,30.4728,13859.341
Niger,19.1026,26207.977
